"team","year","total_points","event_count","GDP_per_capita","GDP_total","GDP_growth","Population","Gini","gapminder_countryname","NOC"
"AND","2008",0,5,"65984.78164000668","5509399343.03235","0.974633394893196","83495","40","Andorra","Andorra"
"AND","2012",0,6,"62940.98186524089","4836007400.63391","0.944287444568478","76834","40","Andorra","Andorra"
"AND","2016",0,4,"64084.51493423089","4625684372.46772","1.02574504587746","72181","40","Andorra","Andorra"
"AND","2020",0,3,"55260.34119489625","4276045201.66107","0.872649224388826","77380","40","Andorra","Andorra"
"AND","2024",0,4,"64411.35934096019","5287176953.47917","1","81938","40","Andorra",NA
"ANG","1980",0,17,"4367.516985854009","35524824120.7623","1.0183953793343","8133872","53.9","Angola","Angola"
"ANG","1988",0,27,"4755.766582215302","51653764777.5158","1.08696373850649","10861291","53.1","Angola","Angola"
"ANG","1992",0,23,"4509.577444871975","56025691416.7852","0.944904453568184","12423712","52.8","Angola","Angola"
"ANG","1996",0,8,"4513.689461618404","63963371490.9789","1.13072221432854","14170973","52.4","Angola","Angola"
"ANG","2000",0,7,"5181.322389073358","83910837337.81","1.0209707949819","16194869","51.8","Angola","Angola"
"ANG","2004",0,5,"6605.744729215286","122869646193.424","1.08769082652677","18600423","48.5","Angola","Angola"
"ANG","2008",0,8,"9796.417698428877","211393517750.29","1.07936770905438","21578655","44.1","Angola","Angola"
"ANG","2012",0,10,"10046.99108571759","252957053079.599","1.04538053780174","25177394","42.6","Angola","Angola"
"ANG","2016",0,10,"9390.918270860882","274055825262.812","0.939881092224885","29183070","42.6","Angola","Angola"
"ANG","2020",0,6,"7562.087366742248","252960382700.427","0.913275678708816","33451132","42.6","Angola","Angola"
"ANG","2024",0,10,"7216.378983919612","274576798103.175","1","37885849","42.6","Angola",NA
"ANT","1976",0,11,"7711.894507894927","491725817.612396","0.910833305701471","63762","40","Antigua and Barbuda","Antigua and Barbuda"
"ANT","1984",0,17,"12995.15442520552","843151609.416184","1.1100899409793","64882","40","Antigua and Barbuda","Antigua and Barbuda"
"ANT","1988",0,20,"18863.62307647105","1200160290.99431","1.07668211777931","63623","40","Antigua and Barbuda","Antigua and Barbuda"
"ANT","1992",0,15,"20934.95629396587","1348294925.15657","0.996028281452346","64404","40","Antigua and Barbuda","Antigua and Barbuda"
"ANT","1996",0,9,"22244.07548969366","1548454582.98855","1.04534242847413","69612","40","Antigua and Barbuda","Antigua and Barbuda"
"ANT","2000",0,4,"25253.10480893433","1891760587.44688","1.04615969324538","74912","40","Antigua and Barbuda","Antigua and Barbuda"
"ANT","2004",0,5,"26058.30199652773","2051283474.86466","1.04700592960459","78719","40","Antigua and Barbuda","Antigua and Barbuda"
"ANT","2008",0,5,"32547.79072836724","2698602424.87038","0.986203914461529","82912","40","Antigua and Barbuda","Antigua and Barbuda"
"ANT","2012",0,4,"25477.11924370012","2223133425.20527","1.02258624318843","87260","40","Antigua and Barbuda","Antigua and Barbuda"
"ANT","2016",0,5,"26462.41193412512","2380796739.3013","1.0338365147656","89969","40","Antigua and Barbuda","Antigua and Barbuda"
"ANT","2020",0,6,"23704.04868782598","2177122055.78206","0.806407479350242","91846","40","Antigua and Barbuda","Antigua and Barbuda"
"ANT","2024",0,5,"29994.30640573839","2729115594.94109","1.01528452545749","93772","40","Antigua and Barbuda",NA
"ARG","1900",0,1,"5245.95011739717","24578057946.5732","0.846821877309682","4685149","48.1","Argentina","Argentina"
"ARG","1908",0,1,"6672.189228520207","42085073757.7034","1.05712731229597","6307536","50.1","Argentina","Argentina"
"ARG","1920",0,1,"6336.80555311166","55881157790.9484","1.05027509011572","8818506","48.6","Argentina","Argentina"
"ARG","1924",23,41,"7399.044634269106","73259931266.905","1.04039916304522","9901269","47.5","Argentina","Argentina"
"ARG","1928",50,43,"7829.434606807036","87214475721.6478","1.03245283018867","11139307","46.3","Argentina","Argentina"
"ARG","1932",11,32,"6426.088579329635","78583654045.0694","0.948791617373669","12228847","46.1","Argentina","Argentina"
"ARG","1936",23,33,"7138.063480708871","93614089347.1502","0.990470139771283","13114774","46.2","Argentina","Argentina"
"ARG","1948",26,94,"10095.82815834309","165443788803.998","1.03879794428851","16387342","49.2","Argentina","Argentina"
"ARG","1952",12,72,"9322.736797013455","165001971873.715","0.934765258045258","17698877","44.7","Argentina","Argentina"
"ARG","1956",3,26,"10673.40192732337","203327922473.04","1.0153066465201","19049964","42","Argentina","Argentina"
"ARG","1960",7,52,"11638.72051605268","237267480182.673","1.07611542395289","20386045","41.4","Argentina","Argentina"
"ARG","1964",2,70,"12533.20359428177","272840986585.148","1.08475025881139","21769453","40","Argentina","Argentina"
"ARG","1968",2,65,"14291.7778315392","330862988906.608","1.03784119130368","23150583","37.6","Argentina","Argentina"
"ARG","1972",2,62,"16745.73573512631","412687404057.773","1.01554918343372","24644328","35.3","Argentina","Argentina"
"ARG","1976",0,48,"17672.39128961034","464470789160.273","0.988047761260782","26282283","36.9","Argentina","Argentina"
"ARG","1984",0,70,"17437.97871595299","520751980126.524","1.00959198740842","29863093","42.1","Argentina","Argentina"
"ARG","1988",14,52,"16953.31329780445","538785315766.899","0.973497946379848","31780532","45.3","Argentina","Argentina"
"ARG","1992",2,65,"17957.65757126583","605056820234.199","1.07722631124549","33693527","45.9","Argentina","Argentina"
"ARG","1996",39,98,"20397.52070383322","724393327989.147","1.04822550994578","35513793","48.8","Argentina","Argentina"
"ARG","2000",37,92,"21410.94227439631","796786463224.307","0.985996785671004","37213984","51.7","Argentina","Argentina"
"ARG","2004",105,83,"21148.22140894698","820887585759.087","1.08418074504859","38815916","49.4","Argentina","Argentina"
"ARG","2008",91,69,"27555.3282825016","1113900668680.43","1.0344849911027","40424148","44.9","Argentina","Argentina"
"ARG","2012",36,65,"29129.16901884313","1228135897134.3","0.978547155501821","42161721","41.8","Argentina","Argentina"
"ARG","2016",65,79,"28006.77369993908","1229506131547.49","0.968899361017853","43900313","42.1","Argentina","Argentina"
"ARG","2020",48,60,"23785.78438056429","1074926335224","0.892297267722506","45191965","42.4","Argentina","Argentina"
"ARG","2024",23,41,"25480.13997161976","1209419519772.77","1","45696159","42.4","Argentina",NA
"ARM","1996",5,34,"4001.633468137751","13120295709.1546","1.05086727115782","3278735","42.5","Armenia","Armenia"
"ARM","2000",1,25,"4822.387148075279","15072988296.8642","1.06105131059196","3125628","36.2","Armenia","Armenia"
"ARM","2004",0,19,"7596.260074832471","22960007522.8442","1.10613096041571","3022541","34.2","Armenia","Armenia"
"ARM","2008",6,22,"12117.59065280839","35867947156.4063","1.07560324576805","2959990","29.6","Armenia","Armenia"
"ARM","2012",3,30,"12240.2057079733","35772343907.3118","1.0773537083449","2922528","30.2","Armenia","Armenia"
"ARM","2016",9,32,"13775.18111306339","40206902206.5416","1.00646135942752","2918793","32.3","Armenia","Armenia"
"ARM","2020",6,16,"15889.3437365965","45934376693.3769","0.932959506824327","2890892","32.6","Armenia","Armenia"
"ARM","2024",7,15,"22028.07518912383","65031364399.6151","1.05231622054053","2973840","32.6","Armenia",NA
"ASA","1988",0,5,"4160.043724607782","700326720.862821","0.978729455433231","168346","42.1","Samoa","American Samoa"
"ASA","1992",0,3,"3909.246237672373","665865820.908973","0.990372950445744","170331","42.1","Samoa","American Samoa"
"ASA","1996",0,6,"4353.961369464487","766606332.282981","1.06105693951629","176071","42.1","Samoa","American Samoa"
